task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
154	94/059d36	2030664	run_tasks:CREATE_PSMS (154)	FAILED	186	2025-05-08 02:47:45.048	9.5s	5s	-	-	-	-	-
144	32/369dc7	2030638	run_tasks:CREATE_PSMS (144)	COMPLETED	0	2025-05-08 02:12:24.975	35m 35s	35m 30s	48.4%	3 GB	3.2 GB	691.7 GB	8.7 GB
156	c6/43101c	2030667	run_tasks:CREATE_PSMS (156)	FAILED	186	2025-05-08 02:48:00.186	4.4s	3ms	-	-	-	-	-
158	69/f9e729	2030668	run_tasks:CREATE_PSMS (158)	FAILED	186	2025-05-08 02:48:05.020	4.5s	2ms	-	-	-	-	-
159	50/2bd74d	2030669	run_tasks:CREATE_PSMS (159)	FAILED	186	2025-05-08 02:48:10.052	4.5s	2ms	-	-	-	-	-
148	fa/2eb67b	2030648	run_tasks:CREATE_PSMS (148)	COMPLETED	0	2025-05-08 02:27:05.159	21m 29s	21m 22s	58.6%	939.6 MB	1.1 GB	255.5 GB	4.8 GB
161	4a/918584	2030671	run_tasks:CREATE_PSMS (161)	FAILED	186	2025-05-08 02:48:35.094	4.4s	2ms	-	-	-	-	-
149	cc/615a46	2030657	run_tasks:CREATE_PSMS (149)	COMPLETED	0	2025-05-08 02:36:05.055	14m 4s	13m 58s	45.5%	1.1 GB	1.3 GB	253.4 GB	3.5 GB
162	a8/2f7e93	2030674	run_tasks:CREATE_PSMS (162)	FAILED	186	2025-05-08 02:50:10.100	4.4s	4ms	-	-	-	-	-
151	f6/8b4122	2030660	run_tasks:CREATE_PSMS (151)	COMPLETED	0	2025-05-08 02:41:20.161	12m 24s	12m 20s	42.3%	1.1 GB	1.3 GB	201.3 GB	2.2 GB
165	91/4b5eb5	2030678	run_tasks:CREATE_PSMS (165)	FAILED	186	2025-05-08 02:53:45.129	9.4s	5s	-	-	-	-	-
167	ca/498bcc	2030679	run_tasks:CREATE_PSMS (167)	FAILED	186	2025-05-08 02:53:55.075	4.5s	2ms	-	-	-	-	-
166	72/ee1b9b	2030680	run_tasks:CREATE_PSMS (166)	FAILED	186	2025-05-08 02:54:00.114	4.4s	2ms	-	-	-	-	-
150	a7/0bd93d	2030658	run_tasks:CREATE_PSMS (150)	COMPLETED	0	2025-05-08 02:37:10.081	25m 14s	25m 9s	48.8%	1.9 GB	2.1 GB	495.7 GB	7.9 GB
157	64/335d12	2030666	run_tasks:CREATE_PSMS (157)	COMPLETED	0	2025-05-08 02:47:55.093	14m 34s	14m 28s	44.9%	1.5 GB	1.7 GB	238.2 GB	3.3 GB
160	c8/ee7897	2030670	run_tasks:CREATE_PSMS (160)	COMPLETED	0	2025-05-08 02:48:15.062	16m 30s	16m 24s	51.7%	633.4 MB	801.6 MB	177.8 GB	4 GB
123	2d/019dce	2030604	run_tasks:CREATE_PSMS (123)	COMPLETED	0	2025-05-08 01:04:04.354	2h 3m 50s	2h 3m 47s	46.7%	2.7 GB	2.9 GB	2.7 TB	35.3 GB
152	a0/a32a28	2030662	run_tasks:CREATE_PSMS (152)	COMPLETED	0	2025-05-08 02:47:15.048	20m 50s	20m 42s	58.0%	560.6 MB	727.8 MB	270.2 GB	4.2 GB
168	68/641aec	2030681	run_tasks:CREATE_PSMS (168)	COMPLETED	0	2025-05-08 02:54:05.081	15m 39s	15m 33s	43.0%	1.3 GB	1.4 GB	254.4 GB	3.8 GB
146	b7/73f1b2	2030646	run_tasks:CREATE_PSMS (146)	COMPLETED	0	2025-05-08 02:21:30.086	52m 49s	52m 43s	46.0%	3.1 GB	3.3 GB	1 TB	14.9 GB
174	41/2c968f	2030688	run_tasks:CREATE_PSMS (174)	COMPLETED	0	2025-05-08 03:09:45.141	6m 19s	6m 13s	39.0%	654.3 MB	822.7 MB	92 GB	1.1 GB
173	f7/bbbbf0	2030687	run_tasks:CREATE_PSMS (173)	COMPLETED	0	2025-05-08 03:08:05.104	15m 29s	15m 25s	38.4%	1.1 GB	1.3 GB	216.9 GB	4.9 GB
175	20/0177bd	2030692	run_tasks:CREATE_PSMS (175)	COMPLETED	0	2025-05-08 03:14:20.272	10m 34s	10m 30s	54.3%	598 MB	765.6 MB	112.4 GB	2.2 GB
147	77/e1385e	2030649	run_tasks:CREATE_PSMS (147)	COMPLETED	0	2025-05-08 02:27:15.103	1h	59m 55s	57.6%	3.7 GB	4.5 GB	634.2 GB	13.2 GB
180	0b/d3e5f9	2030699	run_tasks:CREATE_PSMS (180)	FAILED	186	2025-05-08 03:27:15.233	4.4s	2ms	-	-	-	-	-
170	b0/e0d9d2	2030684	run_tasks:CREATE_PSMS (170)	COMPLETED	0	2025-05-08 03:02:30.122	27m 20s	27m 14s	45.8%	1.9 GB	2.1 GB	559.1 GB	5.4 GB
181	1b/e6a444	2030701	run_tasks:CREATE_PSMS (181)	FAILED	186	2025-05-08 03:29:50.243	4.4s	4ms	-	-	-	-	-
164	ca/04abca	2030675	run_tasks:CREATE_PSMS (164)	COMPLETED	0	2025-05-08 02:50:15.058	49m 30s	49m 25s	55.5%	3.7 GB	4.5 GB	1.2 TB	10 GB
163	6e/8bb7bd	2030672	run_tasks:CREATE_PSMS (163)	COMPLETED	0	2025-05-08 02:48:40.071	52m 40s	52m 34s	44.3%	2.6 GB	2.8 GB	1019.7 GB	15 GB
176	7c/d80b82	2030693	run_tasks:CREATE_PSMS (176)	COMPLETED	0	2025-05-08 03:16:05.125	32m 20s	32m 14s	52.4%	1.7 GB	1.8 GB	785.4 GB	8.2 GB
177	b4/17c10f	2030695	run_tasks:CREATE_PSMS (177)	COMPLETED	0	2025-05-08 03:23:35.144	28m 55s	28m 50s	62.6%	2.1 GB	2.3 GB	342.9 GB	6.2 GB
184	2c/1d71d3	2030707	run_tasks:CREATE_PSMS (184)	COMPLETED	0	2025-05-08 03:39:45.327	15m 44s	15m 41s	53.8%	524.1 MB	693 MB	174.2 GB	3.7 GB
183	6c/669928	2030709	run_tasks:CREATE_PSMS (183)	COMPLETED	0	2025-05-08 03:41:20.276	14m 44s	14m 38s	55.1%	618 MB	786.4 MB	169.1 GB	3.7 GB
182	4d/4b3e03	2030702	run_tasks:CREATE_PSMS (182)	COMPLETED	0	2025-05-08 03:29:55.140	29m 55s	29m 48s	62.5%	2.4 GB	2.6 GB	353.5 GB	6.5 GB
188	a7/310c00	2030715	run_tasks:CREATE_PSMS (188)	COMPLETED	0	2025-05-08 03:56:05.209	12m 40s	12m 32s	34.6%	926.1 MB	1.1 GB	163 GB	3 GB
186	b8/9a2ec0	2030713	run_tasks:CREATE_PSMS (186)	COMPLETED	0	2025-05-08 03:52:30.282	23m 49s	23m 43s	53.3%	488.8 MB	656.9 MB	265.2 GB	6.6 GB
169	5f/a0973e	2030683	run_tasks:CREATE_PSMS (169)	COMPLETED	0	2025-05-08 03:02:25.168	1h 14m	1h 13m 52s	61.0%	2.9 GB	3.1 GB	929.9 GB	15.4 GB
187	e9/fb8c84	2030714	run_tasks:CREATE_PSMS (187)	COMPLETED	0	2025-05-08 03:55:30.245	21m 55s	21m 45s	55.5%	623.4 MB	793.3 MB	260.9 GB	5.3 GB
179	3f/008c68	2030700	run_tasks:CREATE_PSMS (179)	COMPLETED	0	2025-05-08 03:27:20.130	52m 40s	52m 35s	56.5%	615.8 MB	784.2 MB	632.5 GB	12.2 GB
